,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
8106,Medical Sales Representative,CareLab ,1 month ago,"Sayeda Zeinab, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Medical/Healthcare Sales/Retail Medical medical sales representative Medical Sales
8107,Accountant Data Entry,Confidential ,1 month ago,"Downtown, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Accounting/Finance Administration Accounting Data Entry
8108,Account Manager / Clients Relations Specialist (Medical Insurance),Beyond Insurance Brokerage ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Manager,2 - 3 Yrs of Exp,Customer Service/Support Sales/Retail Medical Presentation Skills Negotiation Customer Service Medical Insurance Account Management Key Account Management Communication skills
8109,Senior Angular Frontend Developer (Remotely),Puzzle ,1 month ago,"6th of October, Giza, Egypt ",Full TimePart Time,Experienced,3 - 7 Yrs of Exp,IT/Software Development Angular API front-end Typescript
8110,Production Engineer Internship,EGIC ,1 month ago,"6th of October, Giza, Egypt ",Internship,Entry Level,Manufacturing/Production,Engineering Mechanical Engineering Production engineer Production Manufacturing engineer Mechanical Electrical Internship
8111,Graphic Designer,Roxy Plast ,1 month ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art Graphic Design Graphic Design Adobe Photoshop
8112,Key Account Manager,Confidential ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Customer Service/Support Logistics/Supply Chain Sales/Retail Communication Account Customer Service Logistics Key Account Microsoft Microsoft Office
8113,IT Technical Support,Transmar International  ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,IT/Software Development Information Technology (IT) IT Networks Technical Support
8114,Social Media Specialist,dragon wears ,1 month ago,"Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Marketing/PR/Advertising Media/Journalism/Publishing Marketing E-Marketing social Social Media social media specialist specialist media
8115,On-boarding Senior Associate,Mubasher ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Customer Service/Support On-boarding Customer Support
8116,Senior Internal auditor-KSA,HCPA ,1 month ago,"Riyadh, Saudi Arabia ",Full Time,Experienced,3+ Yrs of Exp,Accounting/Finance Operations/Management Quality Audit Auditing CIA CPA Finance Financial Analysis Internal audit
8117,Software Business Analyst,Safa Soft ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Analyst/Research Engineering - Telecom/Technology Agile Analysis business Analyst Business Administration Business Analysis Computer Science
8118,Receivable Accountant,Confidential ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,males_only Accounting/Finance Accounting Accounts Receivable Finance Financial Analysis AR
8119,Sr. Development Engineer,Urban Estate ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Other Development engineer Microsoft Office Design
